Post_Type,Likes,Shares,Comments,Account_Type,Person_Type,Social_Platform,Location,Account_Verification,User_Activity,User_Language,User_Follower,Media_Type
Reels,1996476,58,132,Public,Brand Ambassador,Instagram,"San Francisco, USA",Not verified,602 posts per week,English,7423,video
Static Image,1911354,69,56,Public,Influencer,Twitter,"Paris, France",Not verified,603 posts per week,English,6287,text
Carousel,2342825,53,142,Public,Gamer,Facebook,"New York City, USA",Not verified,604 posts per week,English,4023,video
Carousel,3037809,64,89,Private,User,Instagram,"Los Angeles, USA",Not verified,203 post per day,English,9872,image
Carousel,1420252,50,116,Public,Entrepreneur,Twitter,"Barcelona, Spain",Not verified,407 posts per week,English,9422,text
Static Image,3802601,49,52,Private,Content Creator,Facebook,"Silicon Valley, USA",Verified,408 posts per week,English,8340,text
Carousel,3342305,44,83,Private,Social Activist,Twitter,Yosemite National Park,Verified,3 posts per week,English,5213,text
Carousel,1531309,39,49,Public,Entrepreneur,Instagram,"Bangkok, Thailand",Not verified,5 posts per week,English,9855,image
Reels,2759877,15,89,Private,Tech Reviewer,Facebook,"Bali, Indonesia",Not verified,2 posts per week,English,8896,video
Static Image,2733206,64,76,Public,Food Blogger,Instagram,"Los Angeles, USA",Verified,4 posts per week,English,6958,text
Video,1334451,61,70,Private,Content Creator,Twitter,"Paris, France",Not verified,3 posts per week,English,2068,text
Carousel,327995,52,129,Private,Food Blogger,Spotify,"Bali, Indonesia",Not verified,2 posts per week,English,961,text
Carousel,3441333,53,130,Private,Social Activist,Instagram,"San Francisco, USA",Not verified,204 post per day,English,6065,text
Text,1110489,21,62,Public,Tech Reviewer,Instagram,"New York City, USA",Verified,2 posts per week,English,3271,video
Reels,1295930,35,135,Public,Fitness Enthusiast,Twitter,"London, UK",Not verified,4 posts per week,English,6083,text
Video,3741767,66,102,Public,User,YouTube,"Paris, France",Verified,3 posts per week,English,5215,text
Video,2963510,70,64,Public,Food Blogger,Instagram,"New York City, USA",Not verified,2 posts per week,English,1617,video
Video,2112922,66,125,Public,Entrepreneur,Twitch,"Los Angeles, USA",Not verified,204 post per day,English,7010,text
Carousel,4064767,32,126,Public,Travel Blogger,Instagram,"San Francisco, USA",Verified,3 posts per week,English,2352,video
Video,2407664,32,138,Public,Fitness Enthusiast,Twitter,"Vancouver, Canada",Not verified,2 posts per week,English,5378,text
Video,1229336,38,63,Public,Social Activist,Facebook,"San Jose, USA",Verified,3 posts per week,English,2185,video
Static Image,1524613,59,104,Private,Influencer,Instagram,"Los Angeles, USA",Not verified,204 post per week,English,8784,image
Reels,3772845,33,129,Public,Travel Blogger,Twitter,"New York City, USA",Verified,4 posts per week,English,5307,text
Reels,1245618,46,81,Public,Entrepreneur,Goodreads,"Seattle, USA",Not verified,2 posts per week,English,5982,text
Carousel,3246549,53,132,Private,Tech Reviewer,Instagram,"Rome, Italy",Not verified,2 posts per week,English,9440,text
Static Image,2454300,41,116,Public,Gamer,Spotify,"Tokyo, Japan",Not verified,3 posts per week,English,6444,text
Static Image,4923309,33,100,Private,Brand Ambassador,Instagram,"Los Angeles, USA",Not verified,4 posts per week,English,821,text
Reels,1184084,15,121,Public,Influencer,Twitter,"Sydney, Australia",Verified,3 posts per week,English,4162,video
Reels,944606,27,106,Private,Social Activist,Facebook,"Silicon Valley, USA",Verified,2 posts per week,English,4561,video
Reels,1860091,45,72,Public,Tech Reviewer,Instagram,"London, UK",Not verified,204 post per day,English,4210,video
Static Image,1036507,19,125,Public,Gamer,Twitter,"New York City, USA",Verified,4 posts per week,English,4785,video
Text,411950,28,129,Public,Tech Reviewer,Facebook,"London, UK",Not verified,3 posts per week,English,3411,text
Carousel,351258,50,89,Private,Influencer,Instagram,"Sydney, Australia",Not verified,4 posts per week,English,4756,video
Reels,530983,47,107,Public,Brand Ambassador,Twitch,"Paris, France",Not verified,2 posts per week,English,1655,video
Carousel,2599398,46,65,Public,Travel Blogger,YouTube,"Barcelona, Spain",Verified,3 posts per week,English,1159,text
Static Image,3967096,50,101,Private,Travel Blogger,Goodreads,"Tokyo, Japan",Not verified,2 posts per week,English,5061,text
Video,1392383,44,88,Public,Tech Reviewer,Twitter,"Los Angeles, USA",Not verified,3 posts per week,English,8639,video
Text,260908,27,85,Public,Travel Blogger,Instagram,"Sydney, Australia",Not verified,2 posts per week,English,7076,video
Reels,769629,21,116,Public,Travel Blogger,Facebook,"London, UK",Not verified,204 post per day,English,9954,text
Text,2102935,37,86,Private,User,Instagram,"San Francisco, USA",Not verified,605 posts per week,English,7585,video
Carousel,2021590,39,42,Public,Gamer,Twitter,"Paris, France",Not verified,606 posts per week,English,4825,text
Static Image,359542,38,96,Public,Brand Ambassador,Facebook,"New York City, USA",Not verified,607 posts per week,English,8403,video
Carousel,1254107,49,111,Public,Travel Blogger,Instagram,"Los Angeles, USA",Not verified,204 post per day,English,3368,image
Video,1408298,56,117,Public,Entrepreneur,Twitter,"Barcelona, Spain",Not verified,409 posts per week,English,5204,text
Static Image,317511,23,119,Public,Gamer,Facebook,"Silicon Valley, USA",Verified,410 posts per week,English,6280,video
Static Image,1524525,64,87,Public,Gamer,Twitter,Yosemite National Park,Verified,3 posts per week,English,9348,image
Video,1652618,39,120,Public,Brand Ambassador,Instagram,"Bangkok, Thailand",Not verified,5 posts per week,English,1397,video
Carousel,2132759,25,108,Public,Travel Blogger,Facebook,"Bali, Indonesia",Not verified,2 posts per week,English,8844,text
Carousel,494044,42,129,Private,Travel Blogger,Instagram,"Los Angeles, USA",Verified,4 posts per week,English,7496,text
Video,1041360,62,115,Public,User,Twitter,"Paris, France",Not verified,3 posts per week,English,3620,image
Reels,2300139,31,78,Public,Travel Blogger,Spotify,"Bali, Indonesia",Not verified,2 posts per week,English,3811,video
Carousel,304356,29,79,Private,Influencer,Instagram,"San Francisco, USA",Not verified,205 post per day,English,3224,text
Reels,68236,74,124,Public,Content Creator,Instagram,"New York City, USA",Verified,2 posts per week,English,4002,image
Static Image,2325219,36,63,Public,Travel Blogger,Twitter,"London, UK",Not verified,4 posts per week,English,5679,text
Carousel,3689287,64,131,Public,Gamer,YouTube,"Paris, France",Verified,3 posts per week,English,6770,text
Reels,639079,50,139,Public,Brand Ambassador,Instagram,"New York City, USA",Not verified,2 posts per week,English,9081,image
Carousel,2237074,32,136,Public,Travel Blogger,Twitch,"Los Angeles, USA",Not verified,205 post per day,English,7226,text
Reels,2461117,22,131,Public,Social Activist,Instagram,"San Francisco, USA",Verified,3 posts per week,English,5197,video
Video,1808414,60,143,Public,Brand Ambassador,Twitter,"Vancouver, Canada",Not verified,2 posts per week,English,2693,video
Text,2501129,29,143,Private,Social Activist,Facebook,"San Jose, USA",Verified,3 posts per week,English,6927,video
Static Image,53761,43,144,Public,Food Blogger,Instagram,"Los Angeles, USA",Not verified,205 post per week,English,5196,text
Carousel,1323933,25,60,Private,Brand Ambassador,Twitter,"New York City, USA",Verified,4 posts per week,English,2537,image
Text,453039,58,140,Public,Fitness Enthusiast,Goodreads,"Seattle, USA",Not verified,2 posts per week,English,2714,video
Static Image,2864547,35,61,Public,Fitness Enthusiast,Instagram,"Rome, Italy",Not verified,2 posts per week,English,2959,video
Carousel,3222536,14,137,Private,Travel Blogger,Spotify,"Tokyo, Japan",Not verified,3 posts per week,English,7275,image
Text,2318348,52,124,Public,Influencer,Instagram,"Los Angeles, USA",Not verified,4 posts per week,English,7800,text
Video,2301407,61,132,Public,Brand Ambassador,Twitter,"Sydney, Australia",Verified,3 posts per week,English,9916,video
Video,2689546,69,66,Public,Content Creator,Facebook,"Silicon Valley, USA",Verified,2 posts per week,English,671,image
Video,1610138,36,155,Public,Entrepreneur,Instagram,"London, UK",Not verified,205 post per day,English,2992,image
Carousel,1677900,63,108,Public,Content Creator,Twitter,"New York City, USA",Verified,4 posts per week,English,1041,video
Carousel,3898656,25,56,Public,Content Creator,Facebook,"London, UK",Not verified,3 posts per week,English,5161,image
Static Image,3661177,50,108,Private,Entrepreneur,Instagram,"Sydney, Australia",Not verified,4 posts per week,English,8703,text
Carousel,1692568,36,131,Public,Food Blogger,Twitch,"Paris, France",Not verified,2 posts per week,English,4996,text
Reels,1744688,42,124,Private,Social Activist,YouTube,"Barcelona, Spain",Verified,3 posts per week,English,6437,video
Video,1652972,53,83,Public,Social Activist,Goodreads,"Tokyo, Japan",Not verified,2 posts per week,English,633,video
Video,2212526,58,121,Public,Gamer,Twitter,"Los Angeles, USA",Not verified,3 posts per week,English,5238,text
Reels,3027666,39,69,Private,Social Activist,Instagram,"Sydney, Australia",Not verified,2 posts per week,English,1644,text
Video,2125171,63,102,Public,Food Blogger,Facebook,"London, UK",Not verified,205 post per day,English,9387,image
Video,110899,24,62,Public,Fitness Enthusiast,Instagram,"San Francisco, USA",Not verified,608 posts per week,English,3371,video
Static Image,1722579,57,128,Public,User,Twitter,"Paris, France",Not verified,609 posts per week,English,1781,video
Carousel,323396,46,129,Public,Gamer,Facebook,"New York City, USA",Not verified,610 posts per week,English,2411,text
Reels,10681,26,108,Public,Brand Ambassador,Instagram,"Los Angeles, USA",Not verified,205 post per day,English,4645,image
Reels,656280,44,73,Private,Entrepreneur,Twitter,"Barcelona, Spain",Not verified,411 posts per week,English,2164,text
Carousel,2595201,51,84,Public,Brand Ambassador,Facebook,"Silicon Valley, USA",Verified,412 posts per week,English,4638,image
Reels,1268756,48,141,Public,Gamer,Twitter,Yosemite National Park,Verified,3 posts per week,English,5568,video
Carousel,2176992,31,153,Public,Fitness Enthusiast,Instagram,"Bangkok, Thailand",Not verified,5 posts per week,English,1334,video
Reels,2533945,42,84,Public,Influencer,Facebook,"Bali, Indonesia",Not verified,2 posts per week,English,8696,video
Text,3295403,55,155,Private,User,Instagram,"Los Angeles, USA",Verified,4 posts per week,English,8921,video
Carousel,426356,48,98,Public,Brand Ambassador,Twitter,"Paris, France",Not verified,3 posts per week,English,584,image
Video,2934735,53,145,Public,Content Creator,Spotify,"Bali, Indonesia",Not verified,2 posts per week,English,1242,video
Static Image,686209,51,88,Public,Travel Blogger,Instagram,"San Francisco, USA",Not verified,206 post per day,English,5510,video
Carousel,936991,69,139,Public,Brand Ambassador,Instagram,"New York City, USA",Verified,2 posts per week,English,6499,text
Text,3011800,48,88,Public,Travel Blogger,Twitter,"London, UK",Not verified,4 posts per week,English,9651,image
Static Image,3446654,41,118,Private,Entrepreneur,YouTube,"Paris, France",Verified,3 posts per week,English,8191,text
Reels,2089501,48,120,Public,Influencer,Instagram,"New York City, USA",Not verified,2 posts per week,English,645,video
Video,3509041,19,79,Private,Travel Blogger,Twitch,"Los Angeles, USA",Not verified,206 post per day,English,4772,text
Reels,1774189,48,87,Public,Travel Blogger,Instagram,"San Francisco, USA",Verified,3 posts per week,English,947,video
Static Image,1523004,29,127,Public,Entrepreneur,Twitter,"Vancouver, Canada",Not verified,2 posts per week,English,4548,video
Carousel,2283785,75,110,Private,Travel Blogger,Facebook,"San Jose, USA",Verified,3 posts per week,English,8665,video
Video,547575,53,145,Public,Influencer,Instagram,"Los Angeles, USA",Not verified,206 post per week,English,835,text
Reels,2430748,27,91,Private,Brand Ambassador,Twitter,"New York City, USA",Verified,4 posts per week,English,4219,video
Static Image,43778,34,145,Public,Fitness Enthusiast,Goodreads,"Seattle, USA",Not verified,2 posts per week,English,310,text
Carousel,1664995,44,72,Private,Gamer,Instagram,"Rome, Italy",Not verified,2 posts per week,English,1428,image
Static Image,911576,58,91,Public,Food Blogger,Spotify,"Tokyo, Japan",Not verified,3 posts per week,English,1587,image
Video,2981806,23,81,Private,Social Activist,Instagram,"Los Angeles, USA",Not verified,4 posts per week,English,9829,video
Reels,1495594,50,146,Private,Social Activist,Twitter,"Sydney, Australia",Verified,3 posts per week,English,72,video
Static Image,4000387,83,81,Private,Influencer,Facebook,"Silicon Valley, USA",Verified,2 posts per week,English,9092,video
Reels,1055178,62,75,Public,Influencer,Instagram,"London, UK",Not verified,206 post per day,English,4273,video
Video,689186,58,68,Private,Influencer,Twitter,"New York City, USA",Verified,4 posts per week,English,5851,video
Reels,450592,21,90,Public,Influencer,Facebook,"London, UK",Not verified,3 posts per week,English,9982,video
Video,2487980,28,138,Public,Content Creator,Instagram,"Sydney, Australia",Not verified,4 posts per week,English,6528,video
Video,36900,52,133,Private,User,Twitch,"Paris, France",Not verified,2 posts per week,English,8183,image
Reels,2688816,26,137,Public,Tech Reviewer,YouTube,"Barcelona, Spain",Verified,3 posts per week,English,1262,video
Carousel,4193089,47,63,Private,Brand Ambassador,Goodreads,"Tokyo, Japan",Not verified,2 posts per week,English,4314,image
Reels,2835794,45,63,Private,Travel Blogger,Twitter,"Los Angeles, USA",Not verified,3 posts per week,English,3566,image
Video,986805,62,77,Public,Influencer,Instagram,"Sydney, Australia",Not verified,2 posts per week,English,2485,text
Carousel,1641038,50,128,Public,Influencer,Facebook,"London, UK",Not verified,206 post per day,English,2151,video
Static Image,1645917,58,72,Public,Gamer,Instagram,"San Francisco, USA",Not verified,611 posts per week,English,7916,video
Video,1329719,61,71,Public,Entrepreneur,Twitter,"Paris, France",Not verified,612 posts per week,English,1386,text
Reels,2537119,37,103,Private,Fitness Enthusiast,Facebook,"New York City, USA",Not verified,613 posts per week,English,4025,video
Static Image,4046009,24,60,Public,Brand Ambassador,Instagram,"Los Angeles, USA",Not verified,206 post per day,English,7039,image
Carousel,1912402,47,71,Public,Fitness Enthusiast,Twitter,"Barcelona, Spain",Not verified,413 posts per week,English,5558,image
Carousel,3482254,49,75,Private,Entrepreneur,Facebook,"Silicon Valley, USA",Verified,414 posts per week,English,1093,video
Video,430101,26,118,Private,Travel Blogger,Twitter,Yosemite National Park,Verified,3 posts per week,English,4969,text
Carousel,1720629,67,115,Public,Food Blogger,Instagram,"Bangkok, Thailand",Not verified,5 posts per week,English,3653,video
Reels,2450556,53,111,Private,Tech Reviewer,Facebook,"Bali, Indonesia",Not verified,2 posts per week,English,6422,text
Video,486833,56,127,Public,Tech Reviewer,Instagram,"Los Angeles, USA",Verified,4 posts per week,English,3185,video
Reels,2078449,60,97,Public,Travel Blogger,Twitter,"Paris, France",Not verified,3 posts per week,English,1270,text
Text,1505842,21,113,Public,Entrepreneur,Spotify,"Bali, Indonesia",Not verified,2 posts per week,English,1200,text
Text,892312,61,130,Public,Social Activist,Instagram,"San Francisco, USA",Not verified,207 post per day,English,4410,image
Reels,3950713,35,70,Private,Social Activist,Instagram,"New York City, USA",Verified,2 posts per week,English,9448,image
Carousel,2366386,65,129,Public,User,Twitter,"London, UK",Not verified,4 posts per week,English,3202,video
Video,1347838,40,111,Private,User,YouTube,"Paris, France",Verified,3 posts per week,English,717,text
Reels,2700213,18,71,Public,Fitness Enthusiast,Instagram,"New York City, USA",Not verified,2 posts per week,English,5231,image
Carousel,2544851,33,96,Public,Gamer,Twitch,"Los Angeles, USA",Not verified,207 post per day,English,2939,image
Video,40925,49,98,Public,Entrepreneur,Instagram,"San Francisco, USA",Verified,3 posts per week,English,1127,text
Carousel,3679951,43,135,Private,Fitness Enthusiast,Twitter,"Vancouver, Canada",Not verified,2 posts per week,English,1503,video
Video,1770598,39,115,Private,Content Creator,Facebook,"San Jose, USA",Verified,3 posts per week,English,1491,text
Carousel,381520,46,144,Private,Social Activist,Instagram,"Los Angeles, USA",Not verified,207 post per week,English,9446,image
Carousel,3985118,69,117,Public,User,Twitter,"New York City, USA",Verified,4 posts per week,English,6994,image
Carousel,2340522,46,62,Private,Social Activist,Goodreads,"Seattle, USA",Not verified,2 posts per week,English,9431,video
Text,4188518,45,126,Public,Entrepreneur,Instagram,"Rome, Italy",Not verified,2 posts per week,English,3082,video
Static Image,2555185,22,85,Public,Content Creator,Spotify,"Tokyo, Japan",Not verified,3 posts per week,English,9738,image
Video,2344514,37,104,Public,Fitness Enthusiast,Instagram,"Los Angeles, USA",Not verified,4 posts per week,English,5214,video
Reels,1704867,68,120,Private,Influencer,Twitter,"Sydney, Australia",Verified,3 posts per week,English,843,image
Reels,994270,60,146,Public,Content Creator,Facebook,"Silicon Valley, USA",Verified,2 posts per week,English,2112,video
Carousel,219925,50,120,Private,Travel Blogger,Instagram,"London, UK",Not verified,207 post per day,English,9663,video
Reels,3776796,37,118,Public,Influencer,Twitter,"New York City, USA",Verified,4 posts per week,English,8479,image
Static Image,2820868,57,63,Public,Gamer,Facebook,"London, UK",Not verified,3 posts per week,English,5250,text
Static Image,2826838,46,143,Public,Fitness Enthusiast,Instagram,"Sydney, Australia",Not verified,4 posts per week,English,9321,image
Reels,4392786,54,67,Private,Tech Reviewer,Twitch,"Paris, France",Not verified,2 posts per week,English,1259,video
Text,3085334,58,64,Private,Food Blogger,YouTube,"Barcelona, Spain",Verified,3 posts per week,English,2857,image
Carousel,1782528,65,90,Public,Brand Ambassador,Goodreads,"Tokyo, Japan",Not verified,2 posts per week,English,9059,video
Text,1705158,33,47,Public,User,Twitter,"Los Angeles, USA",Not verified,3 posts per week,English,8085,video
Carousel,3272019,42,45,Private,Content Creator,Instagram,"Sydney, Australia",Not verified,2 posts per week,English,8978,text
Reels,1209885,42,132,Public,Entrepreneur,Facebook,"London, UK",Not verified,207 post per day,English,8654,video
Reels,2548190,25,88,Public,Food Blogger,Instagram,"San Francisco, USA",Not verified,614 posts per week,English,6243,image
Reels,1317620,58,94,Public,Tech Reviewer,Twitter,"Paris, France",Not verified,615 posts per week,English,8770,video
Static Image,2726779,68,94,Public,Social Activist,Facebook,"New York City, USA",Not verified,616 posts per week,English,9252,image
Reels,2631751,63,71,Private,Entrepreneur,Instagram,"Los Angeles, USA",Not verified,207 post per day,English,7746,video
Reels,1202011,32,116,Private,Travel Blogger,Twitter,"Barcelona, Spain",Not verified,415 posts per week,English,4272,text
Video,2275354,26,79,Public,Food Blogger,Facebook,"Silicon Valley, USA",Verified,416 posts per week,English,4394,text
Static Image,36309,58,134,Public,Social Activist,Twitter,Yosemite National Park,Verified,3 posts per week,English,4552,video
Video,2341343,51,123,Public,Travel Blogger,Instagram,"Bangkok, Thailand",Not verified,5 posts per week,English,2781,video
Carousel,885674,40,83,Public,Brand Ambassador,Facebook,"Bali, Indonesia",Not verified,2 posts per week,English,9076,video
Static Image,1286589,48,79,Public,Gamer,Instagram,"Los Angeles, USA",Verified,4 posts per week,English,4485,text
Static Image,1261693,74,86,Private,User,Twitter,"Paris, France",Not verified,3 posts per week,English,5226,video
Reels,523863,42,82,Public,Brand Ambassador,Spotify,"Bali, Indonesia",Not verified,2 posts per week,English,215,video
Reels,2329999,60,116,Private,Social Activist,Instagram,"San Francisco, USA",Not verified,208 post per day,English,2030,video
Reels,1983384,61,114,Private,Food Blogger,Instagram,"New York City, USA",Verified,2 posts per week,English,9825,video
Carousel,1064293,69,82,Public,Tech Reviewer,Twitter,"London, UK",Not verified,4 posts per week,English,910,image
Carousel,1442656,29,72,Private,Travel Blogger,YouTube,"Paris, France",Verified,3 posts per week,English,583,image
Carousel,2101028,56,98,Public,Gamer,Instagram,"New York City, USA",Not verified,2 posts per week,English,1669,text
Static Image,697750,58,148,Private,Content Creator,Twitch,"Los Angeles, USA",Not verified,208 post per day,English,2556,video
Static Image,4785140,71,58,Private,Gamer,Instagram,"San Francisco, USA",Verified,3 posts per week,English,8451,image
Text,1766706,46,112,Public,Travel Blogger,Twitter,"Vancouver, Canada",Not verified,2 posts per week,English,9389,video
Video,3684318,31,95,Private,Influencer,Facebook,"San Jose, USA",Verified,3 posts per week,English,5714,video
Carousel,2998931,48,109,Public,Travel Blogger,Instagram,"Los Angeles, USA",Not verified,208 post per week,English,1743,image
Video,4169500,42,140,Public,Tech Reviewer,Twitter,"New York City, USA",Verified,4 posts per week,English,4943,image
Video,1750425,70,122,Public,Social Activist,Goodreads,"Seattle, USA",Not verified,2 posts per week,English,6761,video
Reels,505429,34,95,Public,Brand Ambassador,Instagram,"Rome, Italy",Not verified,2 posts per week,English,2133,image
Static Image,2370748,52,81,Private,Social Activist,Spotify,"Tokyo, Japan",Not verified,3 posts per week,English,7446,image
Text,195134,54,90,Public,Brand Ambassador,Instagram,"Los Angeles, USA",Not verified,4 posts per week,English,6423,text
Static Image,2255607,67,141,Public,User,Twitter,"Sydney, Australia",Verified,3 posts per week,English,957,video
Text,888396,32,115,Public,Influencer,Facebook,"Silicon Valley, USA",Verified,2 posts per week,English,7468,text
Carousel,126004,52,48,Public,Tech Reviewer,Instagram,"London, UK",Not verified,208 post per day,English,5544,video
Carousel,1271110,58,100,Public,Social Activist,Twitter,"New York City, USA",Verified,4 posts per week,English,8005,video
Reels,2604710,24,45,Public,Fitness Enthusiast,Facebook,"London, UK",Not verified,3 posts per week,English,4032,text
Static Image,839564,30,67,Public,Tech Reviewer,Instagram,"Sydney, Australia",Not verified,4 posts per week,English,4250,text
Video,3162425,38,96,Public,Gamer,Twitch,"Paris, France",Not verified,2 posts per week,English,7391,image
Text,2375833,67,63,Public,Gamer,YouTube,"Barcelona, Spain",Verified,3 posts per week,English,5204,video
Reels,1129099,49,85,Public,Entrepreneur,Goodreads,"Tokyo, Japan",Not verified,2 posts per week,English,2209,video
Carousel,967457,39,101,Public,Fitness Enthusiast,Twitter,"Los Angeles, USA",Not verified,3 posts per week,English,8315,video
Video,873200,48,51,Public,Social Activist,Instagram,"Sydney, Australia",Not verified,2 posts per week,English,1133,image
Static Image,270961,46,86,Public,Brand Ambassador,Facebook,"London, UK",Not verified,208 post per day,English,3000,text
Carousel,1253505,52,63,Public,Entrepreneur,Instagram,"San Francisco, USA",Not verified,617 posts per week,English,8381,text
Reels,4529585,48,131,Public,Influencer,Twitter,"Paris, France",Not verified,618 posts per week,English,211,video
Video,2211228,25,73,Public,Food Blogger,Facebook,"New York City, USA",Not verified,619 posts per week,English,6099,video
Video,487610,34,112,Public,Brand Ambassador,Instagram,"Los Angeles, USA",Not verified,208 post per day,English,4317,text
Reels,1864634,77,54,Public,Travel Blogger,Twitter,"Barcelona, Spain",Not verified,417 posts per week,English,2769,video
Reels,247349,70,131,Public,Fitness Enthusiast,Facebook,"Silicon Valley, USA",Verified,418 posts per week,English,9603,video
Text,1787416,34,71,Private,Influencer,Twitter,Yosemite National Park,Verified,3 posts per week,English,9880,text
Static Image,393607,55,155,Public,Tech Reviewer,Instagram,"Bangkok, Thailand",Not verified,5 posts per week,English,3864,image
Reels,3345529,39,70,Public,Food Blogger,Facebook,"Bali, Indonesia",Not verified,2 posts per week,English,4310,image
Reels,2695399,63,134,Public,Tech Reviewer,Instagram,"Los Angeles, USA",Verified,4 posts per week,English,8481,text
Video,588036,61,104,Public,Influencer,Twitter,"Paris, France",Not verified,3 posts per week,English,1046,video
Carousel,3151052,50,84,Public,Brand Ambassador,Spotify,"Bali, Indonesia",Not verified,2 posts per week,English,3351,text
Carousel,2479581,44,69,Public,Tech Reviewer,Instagram,"San Francisco, USA",Not verified,209 post per day,English,6741,video
Static Image,635492,38,92,Private,Brand Ambassador,Instagram,"New York City, USA",Verified,2 posts per week,English,6752,image
Reels,1369776,46,70,Public,Social Activist,Twitter,"London, UK",Not verified,4 posts per week,English,3343,text
Static Image,2444651,61,94,Private,Entrepreneur,YouTube,"Paris, France",Verified,3 posts per week,English,2402,video
Carousel,4266100,51,124,Public,Tech Reviewer,Instagram,"New York City, USA",Not verified,2 posts per week,English,7115,video
Static Image,44624,40,137,Public,Food Blogger,Twitch,"Los Angeles, USA",Not verified,209 post per day,English,5118,image
Reels,3467513,62,148,Public,Food Blogger,Instagram,"San Francisco, USA",Verified,3 posts per week,English,8051,video
Carousel,2353485,31,118,Public,Travel Blogger,Twitter,"Vancouver, Canada",Not verified,2 posts per week,English,5226,image
Carousel,2172058,60,120,Public,Food Blogger,Facebook,"San Jose, USA",Verified,3 posts per week,English,6336,image
Text,3012167,65,75,Public,Influencer,Instagram,"Los Angeles, USA",Not verified,209 post per week,English,2992,image
Video,756740,58,127,Public,Gamer,Twitter,"New York City, USA",Verified,4 posts per week,English,5386,text
Carousel,950412,55,149,Public,Travel Blogger,Goodreads,"Seattle, USA",Not verified,2 posts per week,English,3314,text
Video,475655,40,99,Public,Travel Blogger,Instagram,"Rome, Italy",Not verified,2 posts per week,English,5162,text
Static Image,2252298,61,105,Public,Tech Reviewer,Spotify,"Tokyo, Japan",Not verified,3 posts per week,English,8118,image
Text,1444311,61,132,Public,Social Activist,Instagram,"Los Angeles, USA",Not verified,4 posts per week,English,4435,text
Reels,72541,62,62,Public,Tech Reviewer,Twitter,"Sydney, Australia",Verified,3 posts per week,English,4279,video
Static Image,4067760,44,123,Private,Travel Blogger,Facebook,"Silicon Valley, USA",Verified,2 posts per week,English,4970,image
Carousel,1498599,40,78,Private,Social Activist,Instagram,"London, UK",Not verified,209 post per day,English,9474,video
Reels,2847908,56,106,Private,Brand Ambassador,Twitter,"New York City, USA",Verified,4 posts per week,English,7733,text
Text,2127576,27,90,Private,Tech Reviewer,Facebook,"London, UK",Not verified,3 posts per week,English,8690,text
Static Image,1442451,63,104,Public,Entrepreneur,Instagram,"Sydney, Australia",Not verified,4 posts per week,English,1563,video
Reels,577091,61,150,Public,Social Activist,Twitch,"Paris, France",Not verified,2 posts per week,English,6966,image
Carousel,1332853,54,84,Public,Brand Ambassador,YouTube,"Barcelona, Spain",Verified,3 posts per week,English,8603,text
Video,56972,63,78,Public,Entrepreneur,Goodreads,"Tokyo, Japan",Not verified,2 posts per week,English,4277,video
Static Image,1879147,64,95,Private,Influencer,Twitter,"Los Angeles, USA",Not verified,3 posts per week,English,2531,text
Reels,2115486,26,102,Public,Social Activist,Instagram,"Sydney, Australia",Not verified,2 posts per week,English,7321,text
Text,1911284,66,81,Public,Social Activist,Facebook,"London, UK",Not verified,209 post per day,English,7552,image
Carousel,92879,52,98,Public,Food Blogger,Instagram,"San Francisco, USA",Not verified,620 posts per week,English,2797,text
Reels,835092,62,80,Public,Influencer,Twitter,"Paris, France",Not verified,621 posts per week,English,6909,image
Text,198020,25,112,Private,Influencer,Facebook,"New York City, USA",Not verified,622 posts per week,English,4231,text
Reels,2284721,43,145,Public,Entrepreneur,Instagram,"Los Angeles, USA",Not verified,209 post per day,English,6723,image
Reels,3914759,60,77,Public,Content Creator,Twitter,"Barcelona, Spain",Not verified,419 posts per week,English,5275,video
Static Image,2704915,41,143,Public,User,Facebook,"Silicon Valley, USA",Verified,420 posts per week,English,7857,image
Video,2092035,58,105,Public,User,Twitter,Yosemite National Park,Verified,3 posts per week,English,9579,text
Carousel,2181541,37,131,Public,Entrepreneur,Instagram,"Bangkok, Thailand",Not verified,5 posts per week,English,3560,text
Text,1425115,57,82,Private,Travel Blogger,Facebook,"Bali, Indonesia",Not verified,2 posts per week,English,4688,text
Video,1659660,68,98,Public,Social Activist,Instagram,"Los Angeles, USA",Verified,4 posts per week,English,9550,image
Carousel,548984,35,146,Public,Brand Ambassador,Twitter,"Paris, France",Not verified,3 posts per week,English,5443,text
Video,411779,33,141,Private,Influencer,Spotify,"Bali, Indonesia",Not verified,2 posts per week,English,7498,text
Reels,307982,27,58,Public,Entrepreneur,Instagram,"San Francisco, USA",Not verified,210 post per day,English,6802,text
Reels,3184128,24,86,Public,Brand Ambassador,Instagram,"New York City, USA",Verified,2 posts per week,English,9665,image
Video,1329080,58,79,Public,Influencer,Twitter,"London, UK",Not verified,4 posts per week,English,8078,text
Text,332577,46,141,Private,Food Blogger,YouTube,"Paris, France",Verified,3 posts per week,English,2742,text
Carousel,2520403,66,122,Public,Influencer,Instagram,"New York City, USA",Not verified,2 posts per week,English,9742,text
Reels,414969,68,120,Public,Food Blogger,Twitch,"Los Angeles, USA",Not verified,210 post per day,English,6035,video
Reels,1841719,34,90,Public,Content Creator,Instagram,"San Francisco, USA",Verified,3 posts per week,English,3255,image
Reels,1615852,41,76,Public,User,Twitter,"Vancouver, Canada",Not verified,2 posts per week,English,5117,image
